"","V1","V2"
"1",15,10
"2",15.0059887240504,9.99966369820005
"3",15.0128272439937,10.0044646896647
"4",15.0222658287914,10.0182589288348
"5",15.031450055421,10.0390285091599
"6",15.0442849214704,10.0677566553856
"7",15.0511028725234,10.101314040168
"8",15.0599785302175,10.1345781199175
"9",15.0708033017552,10.1592991646389
"10",15.0834861932777,10.1812384222989
"11",15.0928922539756,10.2038936529566
"12",15.1003207708673,10.2298420693337
"13",15.1105355513736,10.2568738183813
"14",15.1107103451776,10.2804343403787
"15",15.1029942916777,10.3013452852027
"16",15.0942339358653,10.3165139566098
"17",15.0871967613584,10.3332193726176
"18",15.0920286650505,10.3512145302743
"19",15.0973755552241,10.3673405898646
"20",15.0992790848051,10.3769405167471
"21",15.094675925101,10.3818645796142
"22",15.0881318948542,10.3829997972765
"23",15.0852738636227,10.3773436058195
"24",15.0752188170835,10.371657630449
"25",15.0640912712297,10.3620907563955
"26",15.0562962522214,10.3566542641205
"27",15.0515613613679,10.3442646786584
"28",15.0539759313893,10.3288099718504
"29",15.0533533865622,10.3199144409881
"30",15.0527484467799,10.3114281366599
"31",15.0583214499213,10.301113651765
"32",15.0635551112026,10.3015268989246
"33",15.0640535407565,10.3079757476398
"34",15.0582976872511,10.3146896158291
"35",15.0472559489318,10.3201901955864
"36",15.0334424615512,10.3255156334627
"37",15.0229987491563,10.329528613255
"38",15.0153857826272,10.3311929513449
"39",15.001100205011,10.3244979625329
"40",14.9848859721063,10.3110090851784
"41",14.9743680401959,10.2900587382989
"42",14.9599557666834,10.2695535734225
"43",14.9473558311659,10.2545065586824
"44",14.9367121492371,10.2417267194904
"45",14.92125883445,10.2353163124079
"46",14.9141950520212,10.2307739594706
"47",14.9063720786627,10.226343773499
"48",14.9049421574743,10.2251576876232
"49",14.9045702326227,10.2254470695113
"50",14.9142393618621,10.229000470993
"51",14.9257090217638,10.2396419923642
"52",14.9316862581105,10.2502995902397
"53",14.9417727683458,10.2594705820299
"54",14.9474624460534,10.2739442594917
"55",14.9483508793839,10.2870077230967
"56",14.9498905145392,10.300443158883
"57",14.9441854483204,10.3082794454393
"58",14.9425109406773,10.3124320996685
"59",14.932480929857,10.3125360687834
"60",14.9214291769949,10.3039217125795
"61",14.9163161097623,10.2888091838598
"62",14.9153959145673,10.2752693030768
"63",14.9164643004514,10.2591878876837
"64",14.9118983887255,10.2543220289624
"65",14.9019260931273,10.2484296242241
"66",14.8913279413177,10.2458827403708
"67",14.8708168723263,10.2498672723518
"68",14.8537225597074,10.256963674299
"69",14.8329889453118,10.2679056495012
"70",14.8170839086372,10.2853123914592
"71",14.8085593342404,10.3089637198271
"72",14.7959460673035,10.3256773993346
"73",14.7757252316662,10.3371067637632
"74",14.7623679558135,10.3458230409662
"75",14.7566298541027,10.351335492871
"76",14.7525210974576,10.3487328464927
"77",14.7501831151557,10.3344091145019
"78",14.7481133966247,10.3204535685159
"79",14.749044968962,10.3104981062101
"80",14.7521028903057,10.3054303873433
"81",14.7611369756158,10.3029274453375
"82",14.7685004944847,10.3088549628582
"83",14.7725913992697,10.3135415591491
"84",14.7751462122733,10.3093622746177
"85",14.7857449207388,10.3058621839956
"86",14.8013187203561,10.2966875648372
"87",14.8180763452909,10.2900643117806
"88",14.8377523814096,10.2823769067332
"89",14.8556559118105,10.2723243752206
"90",14.871989776053,10.2633219751185
"91",14.8829108335611,10.2570825898497
"92",14.8865874053565,10.2591189327231
"93",14.8861958989848,10.2671484701088
"94",14.8758337548885,10.2827543049295
"95",14.8700720566154,10.3025948504352
