Index,Longitud,Latitud,Index,Longitud,Latitude,Index,Longitud,Latitud,Index,Longitud,Latitude,Index,Longitud,Latitude,Index,Longitud,Latitud,Index,Longitud,Latitud,Index,Longitud,Latitud
92,-113.588,30.773,,,,53,-112.81,28.34533333,,,,,,,,,,,,,,,
93,-113.411,30.64,,,,54,-112.8975,28.5085,,,,,,,,,,,,,,,
95,-113.024,30.2835,,,,58,-113.0776667,29.998,,,,,,,,,,,,,,,
96,-113.026,30.033,,,,59,-113.092,29.944,,,,,,,,,,,,,,,
97,-113.024,30.394,,,,60,-113.128,30.254,,,,,,,,,,,,,,,
101,-113.173,30.078,,,,61,-113.4595,30.571,,,,,,,,,,,,,,,
103,-112.664,29.621,,,,62,-113.3345,30.109,,,,,,,,,,,,,,,
104,-112.401,29.441,,,,63,-113.39,29.745,,,,,,,,,,,,,,,
109,-112.574,29.368,,,,64,-113.347,29.467,,,,,,,,,,,,,,,
111,-112.795,29.953,,,,65,-113.228,29.416,,,,,,,,,,,,,,,
113,-113.001,30.137,,,,66,-113.145,29.277,,,,,,,,,,,,,,,
115,-112.778,29.828,,,,67,-112.9736667,29.37233333,,,,,,,,,,,,,,,
,,,,,,68,-112.589,29.315,,,,,,,,,,,,,,,
,,,,,,71,-112.737,29.384,,,,,,,,,,,,,,,
,,,,,,72,-112.58,29.409,,,,,,,,,,,,,,,
,,,,,,74,-112.5785,29.586,,,,,,,,,,,,,,,
,,,,,,76,-112.9025,29.33,,,,,,,,,,,,,,,
,,,,,,77,-113.115,29.129,,,,,,,,,,,,,,,
,,,,,,78,-113.1395,29.157,,,,,,,,,,,,,,,
,,,,,,80,-112.79,28.35666667,,,,,,,,,,,,,,,
,,,,,,81,-112.806,28.415,,,,,,,,,,,,,,,
,,,,,,82,-113.127,28.714,,,,,,,,,,,,,,,
,,,,,,83,-113.486,29.34933333,,,,,,,,,,,,,,,
,,,,,,84,-112.77,29.693,,,,,,,,,,,,,,,
,,,,,,85,-112.802,29.589,,,,,,,,,,,,,,,
,,,,,,86,-112.6635,29.497,,,,,,,,,,,,,,,
,,,,,,87,-112.565,29.398,,,,,,,,,,,,,,,
,,,,,,88,-112.694,29.486,,,,,,,,,,,,,,,
,,,,,,89,-112.6945,29.4585,,,,,,,,,,,,,,,
,,,,,,90,-112.561,29.321,,,,,,,,,,,,,,,
,,,,,,91,-112.954,29.1965,,,,,,,,,,,,,,,
,,,,,,92,-113.001,28.66366667,,,,,,,,,,,,,,,
,,,,,,93,-112.81,28.38233333,,,,,,,,,,,,,,,
,,,,,,94,-112.746,28.3145,,,,,,,,,,,,,,,
,,,,,,95,-112.916,28.587,,,,,,,,,,,,,,,
,,,,,,96,-112.9765,28.6055,,,,,,,,,,,,,,,
,,,,,,97,-112.983,28.62733333,,,,,,,,,,,,,,,
,,,,,,99,-113.1665,28.847,,,,,,,,,,,,,,,
,,,,,,100,-112.9206667,28.89466667,,,,,,,,,,,,,,,
,,,,,,101,-112.728,29.448,,,,,,,,,,,,,,,
,,,,,,102,-113.031,29.728,,,,,,,,,,,,,,,
,,,,,,103,-112.782,29.589,,,,,,,,,,,,,,,
,,,,,,105,-112.8945,29.725,,,,,,,,,,,,,,,
,,,,,,106,-113.3536667,30.16366667,,,,,,,,,,,,,,,
,,,,,,107,-113.378,30.562,,,,,,,,,,,,,,,
,,,,,,110,-113.8595,30.7335,,,,,,,,,,,,,,,
,,,,,,111,-114.118,30.871,,,,,,,,,,,,,,,
,,,,,,114,-113.953,30.685,,,,,,,,,,,,,,,
,,,,,,115,-113.8805,30.538,,,,,,,,,,,,,,,
,,,,,,116,-113.69,30.185,,,,,,,,,,,,,,,
,,,,,,117,-113.187,30.316,,,,,,,,,,,,,,,
,,,,,,119,-113.053,30.243,,,,,,,,,,,,,,,
,,,,,,120,-113.03,30.197,,,,,,,,,,,,,,,
,,,,,,121,-113.0065,30.213,,,,,,,,,,,,,,,
,,,,,,122,-112.8715,29.932,,,,,,,,,,,,,,,
,,,,,,123,-112.744,29.945,,,,,,,,,,,,,,,
,,,,,,124,-113.026,30.051,,,,,,,,,,,,,,,
,,,,,,125,-112.93,29.631,,,,,,,,,,,,,,,
,,,,,,126,-113.135,30.244,,,,,,,,,,,,,,,
,,,,,,128,-113.484,30.417,,,,,,,,,,,,,,,
,,,,,,129,-113.396,30.431,,,,,,,,,,,,,,,
,,,,,,135,-113.619,29.244,,,,,,,,,,,,,,,
,,,,,,136,-113.461,29.293,,,,,,,,,,,,,,,
,,,,,,137,-113.407,29.186,,,,,,,,,,,,,,,
,,,,,,139,-113.361,28.986,,,,,,,,,,,,,,,
,,,,,,140,-113.341,28.949,,,,,,,,,,,,,,,
,,,,,,141,-113.3935,29.127,,,,,,,,,,,,,,,
,,,,,,142,-113.201,28.94266667,,,,,,,,,,,,,,,
,,,,,,143,-112.656,28.858,,,,,,,,,,,,,,,
,,,,,,144,-112.628,28.259,,,,,,,,,,,,,,,
,,,,,,145,-112.654,28.122,,,,,,,,,,,,,,,
,,,,,,146,-112.508,27.624,,,,,,,,,,,,,,,
,,,,,,149,-111.596,26.74,,,,,,,,,,,,,,,
,,,,,,150,-111.435,26.643,,,,,,,,,,,,,,,
,,,,,,151,-111.551,26.619,,,,,,,,,,,,,,,
,,,,,,155,-110.843,25.799,,,,,,,,,,,,,,,
,,,,,,157,-110.981,25.469,,,,,,,,,,,,,,,
,,,,,,158,-110.687,25.166,,,,,,,,,,,,,,,
